property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime
PROP-9F688DC0F2F6,9.5,467.0,1.5,0.833,0.5,0.708,29.4,0.0,0.0,0.0,21.25,4.1,0.531,0.234,0.146,0.0,2.3514,6.1485,0.5353,0.0,3.1023,1.6292,0.4259,0.2103,0.1363,Bengaluru_Chandapura,Declining
PROP-DD827CF00BF7,9.5,840.0,1.0,0.833,0.5,0.917,17.1,0.0,1.98,1.61,27.5,2.5,0.378,0.112,0.123,0.0,2.3514,6.7346,0.6508,0.0,3.3499,1.2528,0.3206,0.1062,0.116,Bengaluru_Kadugodi,Stable
PROP-9812020C0B67,9.5,650.0,2.0,0.833,1.0,1.0,22.9,0.0,10.18,2.02,30.0,9.3333,0.164,0.409,0.216,0.0,2.3514,6.4785,0.6931,0.0,3.434,2.3354,0.1519,0.3429,0.1956,Bengaluru_Sivanchetti Gardens,Growth
PROP-B88395FFC573,9.5,716.67,1.33,0.833,0.5,1.0,13.5,0.0,7.77,1.5,30.0,4.9412,0.23,0.113,0.125,0.0,2.3514,6.576,0.6931,0.0,3.434,1.7819,0.207,0.1071,0.1178,Bengaluru_Malur,Growth
PROP-5D861391E50B,9.5,358.33,1.0,0.833,0.333,1.0,41.6,0.0,10.48,3.08,30.0,4.6667,0.385,0.827,0.373,0.0,2.3514,5.8842,0.6931,0.0,3.434,1.7346,0.3257,0.6027,0.317,Bengaluru_Bisuvanahalli,Growth
PROP-09386789E29D,9.5,358.33,1.0,0.833,0.286,1.0,41.6,0.0,0.0,1.83,30.0,10.7692,0.385,0.827,0.373,0.0,2.3514,5.8842,0.6931,0.0,3.434,2.4655,0.3257,0.6027,0.317,Bengaluru_Bisuvanahalli,Declining
PROP-C0CD75FD2E08,9.5,625.0,1.0,0.833,0.5,1.308,24.3,0.0,10.18,2.02,39.25,1.6442,1.477,0.083,0.089,0.0,2.3514,6.4394,0.8364,0.0,3.6951,0.9724,0.907,0.0797,0.0853,Bengaluru_Cooke Town,Growth
PROP-0B4A2A353F12,9.5,1200.0,3.0,0.833,0.5,0.556,30.7,0.0,8.37,1.24,16.67,9.3333,0.399,0.46,0.145,0.0,2.3514,7.0909,0.4421,0.0,2.8719,2.3354,0.3358,0.3784,0.1354,Bengaluru_Hoskote,Growth
PROP-B92C2336EB93,9.5,516.67,0.56,0.833,0.5,0.713,47.0,4.0,1.97,1.49,21.39,1.7114,0.379,0.394,1.462,2.0,2.3514,6.2493,0.5382,1.6094,3.1086,0.9975,0.3214,0.3322,0.901,Bengaluru_Sannatammanahalli,Stable
PROP-DEC084B63D73,9.5,582.5,1.5,0.833,0.5,1.0,12.9,6.0,10.48,3.08,30.0,8.2353,0.104,0.136,0.386,3.0,2.3514,6.369,0.6931,1.9459,3.434,2.223,0.0989,0.1275,0.3264,Bengaluru_Mailasandra,Growth
PROP-2B2D243FDB15,9.5,436.33,1.0,0.917,0.2,1.042,12.6,0.0,10.48,3.08,31.25,18.1818,0.163,0.208,0.105,0.0,2.3514,6.0807,0.7139,0.0,3.4735,2.954,0.151,0.189,0.0998,Bengaluru_Kudlu,Growth
PROP-3BBBFCA0D39A,9.5,405.0,2.0,0.833,0.5,1.0,11.4,0.0,0.0,1.04,30.0,21.0,0.193,0.107,0.263,0.0,2.3514,6.0064,0.6931,0.0,3.434,3.091,0.1765,0.1017,0.2335,Bengaluru_Thippasandra,Declining
PROP-76C7370CE58E,9.5,225.0,0.5,0.833,0.5,0.929,39.3,3.0,8.58,2.03,27.88,2.1216,0.371,0.35,0.354,1.0,2.3514,5.4205,0.657,1.3863,3.3631,1.1383,0.3155,0.3001,0.3031,Bengaluru_Banashankari,Growth
PROP-BF20F05F9192,9.5,225.17,0.5,0.833,0.5,0.929,39.3,3.0,8.44,3.26,27.88,2.1216,0.371,0.35,0.354,1.0,2.3514,5.4213,0.657,1.3863,3.3631,1.1383,0.3155,0.3001,0.3031,Bengaluru_Banashankari,Growth
PROP-5935D11D0E71,9.5,225.33,0.5,0.833,0.5,0.929,39.3,3.0,8.78,1.94,27.88,2.1216,0.371,0.35,0.354,1.0,2.3514,5.422,0.657,1.3863,3.3631,1.1383,0.3155,0.3001,0.3031,Bengaluru_Banashankari,Growth
PROP-756DE4A8386D,9.5,277.78,0.44,0.833,0.5,0.667,20.9,5.0,4.24,1.83,20.0,0.4431,0.185,0.168,0.2,1.0,2.3514,5.6304,0.511,1.7918,3.0445,0.3668,0.1697,0.1553,0.1823,Bengaluru_Kumaraswamy Layout,Stable
